word	abs
a	1377
a-t-elle	1
a-t-il	6
a-t-on	4
aaaaa	1
abadonné	1
abalone	2
abandonne	1
abandonnent	1
abandonner	3
abandonnez-vous	1
abandonné	4
abats	6
abattement	1
abatteur	1
abattoirs	9
abbacchio	1
abbachio	5
abbas	1
abbateur	1
abbaye	10
abbruzes	1
abdel	2
abel	12
aberdeen	3
abondamment	10
abondance	6
abondant	2
abondante	2
abondantes	1
abondent	3
abonnés	1
abord	20
abordable	4
abordables	2
aborde	2
abordent	1
aborder	3
abordé	1
aboutira	1
aboutissement	1
aboyeur	1
abreuve	1
abreuver	1
abreuvoir	6
abreuvée	1
abri	4
abricot	1
abricots	2
abris	1
abrit	1
abritait	2
abrite	6
abriter	1
abrogée	1
abruzzes	2
abruzzo	1
abréviation	1
absence	7
absent	2
absente	1
absolu	2
absolue	2
absolument	20
absolution	1
abstenir	1
abstient	1
abstraction	1
abstrait	1
abus	2
abusant	1
abuse	2
abusez	1
abusif	1
abusive	1
acacia	5
académie	4
acajou	2
acapulco	1
acapulqueno	1
accaparée	1
accent	14
accents	7
accentuer	1
accentué	2
accentuée	1
acceptable	2
acceptables	1
accepte	4
accepter	1
acceptera	1
accepteraient	1
accepterez	1
acceptons	1
accepté	2
accessible	2
accessibles	3
accessoires	2
acceuil	1
accident	2
accidenté	1
acclamée	1
acclamés	1
accommodant	1
accommode	3
accommodements	1
accommoder	7
accommodé	1
accommodée	2
accommodées	1
accommodés	1
accomoda	1
accomode	2
accomoder	1
accomodé	1
accomodée	1
accomodés	1
accompagnaient	1
accompagnait	1
accompagnant	2
accompagne	13
accompagnement	13
accompagnements	2
accompagnent	5
accompagner	13
accompagnera	1
accompagneront	1
accompagné	25
accompagnée	13
accompagnées	6
accompagnés	10
accompanent	1
accompli	3
accomplie	2
accomplir	2
accomplis	1
accord	10
accorde	3
accordent	2
accorder	1
accorderions	1
accordez	2
accordons	1
accords	4
accordée	1
accoudoirs	1
accourut	1
accrochaient	1
accroche	1
accroché	1
accrochée	3
accrochées	2
accrochés	1
accru	1
accrédités	1
accueil	95
accueillant	7
accueillante	5
accueillantes	1
accueillants	3
accueille	14
accueillent	5
accueilli	3
accueillir	5
accueillis	2
accumulation	1
accumule	2
accuse	3
accusé	1
accède	1
accès	4
accéder	2
accélérer	2
achalande	1
achat	2
achats	5
achepot	2
acheter	4
achetées	1
achetés	4
achever	1
achevé	1
achète	1
aché	1
acide	2
acidité	4
acidulé	2
acidulée	1
acidulées	1
acier	1
acompagner	1
acoustique	1
acoustiques	1
acqueduc	1
acquis	4
acquise	2
acquises	2
acquits	1
acquittent	1
acquitter	1
acquérir	1
acras	1
acropole	1
acte	2
actes	1
acteur	1
acteurs	1
actif	3
action	2
active	5
activer	1
activités	80
actualisation	1
actualiser	2
actualisée	1
actualité	4
actuel	7
actuelle	3
actuellement	4
actuelles	3
actuels	4
acuité	1
adagio	1
adana	1
adaptation	4
adaptations	1
adaptent	1
adapter	2
adapté	3
adaptée	1
addition	87
additionnent	1
additionné	1
additions	18
addons	13
adeptes	2
adhérer	1
adhésion	3
adieux	1
adjoindre	2
adjoint	2
adjoints	2
adjonction	1
admets	1
admettent	1
admettre	5
administrations	1
admirable	6
admirablement	3
admirables	3
admiration	1
admire	2
admirer	3
admirez	4
admis	2
adnot	1
adolphe	3
adopta	1
adopte	5
adoptent	1
adopter	1
adopté	4
adoptée	1
adoptées	1
adorable	2
adorateurs	1
adore	11
adorent	4
adorera	1
adorez	2
adoucie	1
adoucies	1
adoucir	3
adresse	56
adresser	1
adresserai	1
adresses	27
adrien	2
adrienne	10
adroit	4
adroite	1
adroitement	2
adultes	1
adversaires	1
advocaat	1
adéquat	2
adéquate	1
adéquates	1
ae	186
aeby	1
aerts	3
affabilité	6
affable	5
affaire	37
affairer	1
affaires	38
affamé	1
affamés	4
affectation	1
affection	2
affectionne	2
affectueusement	1
affectueux	2
affecté	1
affichait	1
affiche	14
affichent	2
affiches	4
affiché	3
affichée	2
afficionados	1
affiliation	1
affinent	1
affiner	1
affinité	1
affinités	4
affiné	1
affinée	1
affinés	1
affirmation	1
affirme	1
affirme-t-on	1
affirmer	1
affirmée	2
affirmées	1
affirmés	1
affligeante	1
affligeants	1
affluence	3
affogato	2
affolante	1
affolent	1
affranchir	1
affreusement	1
affreux	4
affronte	1
affronter	1
afféterie	3
affétée	1
afghans	1
afin	10
africa	2
africain	1
africaine	3
africaines	1
afrique	2
again	1
agapes	1
agassac	2
agatha	1
age	2
agencement	2
agencées	1
agenda	2
agent	1
agents	1
agglomération	1
agglutinés	1
agissait	1
agisse	1
agit	21
agitation	1
agitée	1
agneau	138
agneaux	2
agnelet	1
agnolotti	4
agnus	3
agrafées	1
agraires	1
agrandi	4
agrandie	2
agrandir	1
agrandissements	1
agressifs	1
agression	1
agressive	1
agressivité	1
agricoles	1
agrippine	5
agrume	1
agréab1ement	1
agréable	43
agréablement	15
agréables	7
agrément	9
agrémenter	1
agréments	190
agrémenté	9
agrémentée	3
agrémentées	1
agrémentés	1
aguerri	2
ah	4
ahrend	6
ahurissant	1
ai	227
ai-je	2
aichi	2
aidant	3
aide	6
aider	3
aidé	1
aidée	1
aigle	1
aiglefin	1
aigre	12
aigre-douce	7
aigre-douces	1
aigre-doux	13
aigrelette	1
aigu	1
aiguillette	1
aiguillettes	12
aiguise	1
aiguisent	2
ail	50
aile	14
ailerons	3
ailes	8
aillent	1
ailleurs	69
aillée	2
aillés	3
aimable	34
aimablement	2
aimables	2
aimais	1
aimait	1
aimant	1
aimante	1
aime	63
aiment	17
aimer	8
aimera	1
aimerais	3
aimerait	4
aimez	10
aimons	5
aimé	19
aimés	1
ainsi	48
air	33
air-conditionné	1
air-intègre	1
air-là	1
airelles	4
airs	1
aisance	8
aise	17
aises	2
aisé	2
aisées	1
aisément	7
ait	24
aixoise	1
aji-no-moto	1
ajout	1
ajoutant	2
ajoute	19
ajoutent	3
ajouter	14
ajoutera	5
ajouterai	4
ajouterais-je	1
ajouterait	1
ajoutes	1
ajoutez	5
ajoutez-y	3
ajoutons-y	1
ajoutèrent	1
ajouté	3
ajoutés	1
ajusté	1
akvavit	1
al	23
alain	39
alais	1
alambiquée	1
alambiqués	1
alarme	1
alaska	1
alba	7
alban	6
albanaise	1
albanese	1
albarine	1
albert	22
albert-jean	2
alberty	3
albigeoise	1
albondiga	1
albrecht	3
